,columns,missing values count
0,Sensor - 1,9
1,Sensor - 2,24
2,Sensor - 3,116
3,Sensor - 4,116
4,Sensor - 5,116
5,Sensor - 6,116
6,Sensor - 7,116
7,Sensor - 8,75
8,Sensor - 9,18
9,Sensor - 10,18
10,Sensor - 11,18
11,Sensor - 12,18
12,Sensor - 13,18
13,Sensor - 14,27
14,Sensor - 15,27
15,Sensor - 16,27
16,Sensor - 17,27
17,Sensor - 18,27
18,Sensor - 19,27
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,7
22,Sensor - 23,7
23,Sensor - 24,7
24,Sensor - 25,7
25,Sensor - 26,7
26,Sensor - 27,7
27,Sensor - 28,7
28,Sensor - 29,7
29,Sensor - 30,7
30,Sensor - 31,7
31,Sensor - 32,7
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,132
41,Sensor - 42,132
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,9
54,Sensor - 55,9
55,Sensor - 56,9
56,Sensor - 57,9
57,Sensor - 58,9
58,Sensor - 59,9
59,Sensor - 60,45
60,Sensor - 61,45
61,Sensor - 62,45
62,Sensor - 63,45
63,Sensor - 64,45
64,Sensor - 65,45
65,Sensor - 66,45
66,Sensor - 67,45
67,Sensor - 68,45
68,Sensor - 69,45
69,Sensor - 70,45
70,Sensor - 71,45
71,Sensor - 72,45
72,Sensor - 73,4625
73,Sensor - 74,4625
74,Sensor - 75,45
75,Sensor - 76,216
76,Sensor - 77,216
77,Sensor - 78,216
78,Sensor - 79,216
79,Sensor - 80,216
80,Sensor - 81,216
81,Sensor - 82,216
82,Sensor - 83,216
83,Sensor - 84,9
84,Sensor - 85,16
85,Sensor - 86,5356
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,436
90,Sensor - 91,436
91,Sensor - 92,40
92,Sensor - 93,19
93,Sensor - 94,19
94,Sensor - 95,40
95,Sensor - 96,40
96,Sensor - 97,40
97,Sensor - 98,40
98,Sensor - 99,40
99,Sensor - 100,40
100,Sensor - 101,40
101,Sensor - 102,40
102,Sensor - 103,40
103,Sensor - 104,19
104,Sensor - 105,19
105,Sensor - 106,40
106,Sensor - 107,40
107,Sensor - 108,40
108,Sensor - 109,40
109,Sensor - 110,2453
110,Sensor - 111,2453
111,Sensor - 112,2453
112,Sensor - 113,4906
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,216
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,27
122,Sensor - 123,27
123,Sensor - 124,27
124,Sensor - 125,27
125,Sensor - 126,27
126,Sensor - 127,27
127,Sensor - 128,27
128,Sensor - 129,27
129,Sensor - 130,27
130,Sensor - 131,27
131,Sensor - 132,27
132,Sensor - 133,27
133,Sensor - 134,27
134,Sensor - 135,27
135,Sensor - 136,0
136,Sensor - 137,9
137,Sensor - 138,24
138,Sensor - 139,116
139,Sensor - 140,116
140,Sensor - 141,116
141,Sensor - 142,116
142,Sensor - 143,116
143,Sensor - 144,75
144,Sensor - 145,18
145,Sensor - 146,18
146,Sensor - 147,18
147,Sensor - 148,18
148,Sensor - 149,18
149,Sensor - 150,27
150,Sensor - 151,27
151,Sensor - 152,27
152,Sensor - 153,27
153,Sensor - 154,27
154,Sensor - 155,27
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,6750
158,Sensor - 159,6750
159,Sensor - 160,7
160,Sensor - 161,7
161,Sensor - 162,7
162,Sensor - 163,7
163,Sensor - 164,7
164,Sensor - 165,7
165,Sensor - 166,7
166,Sensor - 167,7
167,Sensor - 168,7
168,Sensor - 169,7
169,Sensor - 170,7
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,132
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,9
191,Sensor - 192,9
192,Sensor - 193,9
193,Sensor - 194,9
194,Sensor - 195,9
195,Sensor - 196,9
196,Sensor - 197,45
197,Sensor - 198,45
198,Sensor - 199,45
199,Sensor - 200,45
200,Sensor - 201,45
201,Sensor - 202,45
202,Sensor - 203,45
203,Sensor - 204,45
204,Sensor - 205,45
205,Sensor - 206,45
206,Sensor - 207,45
207,Sensor - 208,45
208,Sensor - 209,45
209,Sensor - 210,45
210,Sensor - 211,216
211,Sensor - 212,216
212,Sensor - 213,216
213,Sensor - 214,216
214,Sensor - 215,216
215,Sensor - 216,216
216,Sensor - 217,216
217,Sensor - 218,216
218,Sensor - 219,9
219,Sensor - 220,16
220,Sensor - 221,5356
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,436
225,Sensor - 226,436
226,Sensor - 227,40
227,Sensor - 228,19
228,Sensor - 229,19
229,Sensor - 230,40
230,Sensor - 231,40
231,Sensor - 232,40
232,Sensor - 233,40
233,Sensor - 234,40
234,Sensor - 235,40
235,Sensor - 236,40
236,Sensor - 237,40
237,Sensor - 238,40
238,Sensor - 239,19
239,Sensor - 240,19
240,Sensor - 241,40
241,Sensor - 242,40
242,Sensor - 243,40
243,Sensor - 244,40
244,Sensor - 245,2453
245,Sensor - 246,2453
246,Sensor - 247,2453
247,Sensor - 248,4906
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,216
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,27
257,Sensor - 258,27
258,Sensor - 259,27
259,Sensor - 260,27
260,Sensor - 261,27
261,Sensor - 262,27
262,Sensor - 263,27
263,Sensor - 264,27
264,Sensor - 265,27
265,Sensor - 266,27
